"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250620_212408.csv",,,,"Date:","20 Jun 2025 21:24:08 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
20-06 21:24:08,,,2745892,13324356,2320,138188
20-06 21:24:09,0.399,0.199,99.226,0,0,602.336,195.460,2751796,13317236,2460,139264
20-06 21:24:10,0.301,0.301,99.545,0,0,0,0,2754136,13314896,2460,139264
20-06 21:24:11,0.200,0.299,99.649,0,0,0,0,2749984,13319048,2460,139264
20-06 21:24:12,0.301,2.004,95.000,2.155,0,325334.208,0,3203356,12541016,2460,463924
20-06 21:24:13,0.698,1.993,94.277,2.790,0,418030.200,0,3656512,11668120,2460,883664
20-06 21:24:14,0.299,1.894,94.404,2.891,0,429247.295,27.913,4088260,10805780,2468,1314248
20-06 21:24:15,0.603,1.810,94.498,2.765,0,418462.976,0,4502720,9975200,2468,1730368
20-06 21:24:16,0.300,1.551,94.792,2.751,0,430400.813,0,4931768,9115880,2468,2160640
20-06 21:24:17,0.600,2.001,93.985,2.801,0,429096.216,0,5360932,8257780,2468,2589456
20-06 21:24:18,0.250,2.150,94.502,2.750,0,442759.958,32.001,5805848,7368960,2468,3032336
20-06 21:24:19,0.479,2.156,94.296,2.539,0,438636.637,34.498,6259772,6456244,2476,3490064
20-06 21:24:20,4.520,4.572,258.222,5.196,0,859966.539,8.313,7083596,4803236,2484,4317352
20-06 21:24:21,5.249,0.050,94.682,0,0,0,0,7083916,4802900,2484,4317352
20-06 21:24:22,3.503,1.574,95.089,0.102,0,398.022,56.860,2745156,9141320,2492,4317668
20-06 21:24:23,0.100,0.250,99.604,0.050,0,11.994,0,2748740,9137660,2492,4317744
