"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250621_155634.csv",,,,"Date:","21 Jun 2025 15:56:34 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
21-06 15:56:34,,,1103944,14889208,3608,212008
21-06 15:56:35,0.249,0.249,99.698,0,0,262.940,7.968,1103936,14888540,3872,212388
21-06 15:56:36,0.198,0.198,99.427,0,0,0,0,1107644,14884824,3872,212388
21-06 15:56:37,0.151,0.050,99.846,0,0,0,0,1109156,14883312,3872,212388
21-06 15:56:38,0,0.099,99.645,0,0,0,0,1107200,14885268,3872,212388
21-06 15:56:39,0.151,0.201,99.714,0.201,0,0,177.001,1104912,14887556,3880,212380
21-06 15:56:40,0.101,0.251,99.579,0.050,0,961.101,0,1142064,14849596,4148,212916
21-06 15:56:41,0.800,2.051,94.175,2.701,0,396664.459,12.003,1637248,13957520,4164,609776
21-06 15:56:42,0.250,2.546,94.597,2.147,0,410088.067,0,2047596,13135324,4164,1020632
21-06 15:56:43,0.300,2.698,94.480,2.198,0,428736.436,0,2470668,12282204,4164,1449688
21-06 15:56:44,0.247,2.516,94.653,2.318,0,432854.446,51.297,2912724,11400336,4172,1888472
21-06 15:56:45,0.457,2.590,94.455,2.133,0,435896.748,4.063,3341188,10541664,4172,2317656
21-06 15:56:46,4.246,1.199,94.459,0.050,0,1310.731,11.988,1381836,12499944,4172,2318712
21-06 15:56:47,1.803,3.004,95.088,0.300,0,32943.911,0,3375600,10473220,4172,2351608
21-06 15:56:48,3.852,1.580,94.630,0,0,0,0,1412884,12435936,4172,2351608
21-06 15:56:49,6.024,5.670,213.235,0.304,0,33307.536,299.703,2327040,11488824,4180,2384508
21-06 15:56:50,3.390,1.795,94.567,0.199,0,32798.023,15.952,3438864,10344012,4180,2417440
21-06 15:56:51,2.219,2.958,94.810,0,0,0,0,2620864,11162012,4180,2417440
21-06 15:56:52,3.745,1.873,94.741,0.152,0,33297.162,0,3478468,10271424,4180,2450336
21-06 15:56:53,2.151,3.102,94.512,0,0,8.005,80.053,2549636,11200240,4196,2450336
21-06 15:56:54,3.663,1.907,94.595,0.151,0,33016.556,8.029,3547268,10169632,4196,2483232
21-06 15:56:55,2.273,3.212,94.620,0,0,3.953,55.339,2905956,10810920,4204,2483248
21-06 15:56:56,3.748,1.469,94.774,0.152,0,33326.418,0,3587724,10096224,4204,2516144
21-06 15:56:57,1.793,3.338,94.557,0,0,0,0,2972532,10711392,4204,2516144
21-06 15:56:58,3.813,0.953,94.865,0.201,0,33005.566,64.213,3587424,10063544,4216,2549040
21-06 15:56:59,2.199,3.199,94.372,0,0,0,47.986,2500328,11150624,4216,2549040
21-06 15:57:00,3.481,1.989,94.842,0.149,0,32720.589,0,3606100,10011892,4216,2581936
21-06 15:57:01,2.481,2.828,94.561,0,0,0,15.876,2305200,11312776,4216,2581936
21-06 15:57:02,2.845,1.997,94.835,0.200,0,32838.703,0,3639576,9945440,4216,2614832
21-06 15:57:03,3.476,1.713,94.410,0.050,0,0,40.303,1519728,12065288,4224,2614824
21-06 15:57:04,1.864,3.325,94.618,0.202,0,33147.527,0,3671596,9880452,4224,2647728
21-06 15:57:05,4.792,0.840,94.658,0,0,0,0,3602568,9949456,4224,2647728
21-06 15:57:06,1.507,3.565,94.911,0,0,0,12.052,3658260,9893764,4224,2647728
21-06 15:57:07,4.668,0.502,94.815,0.251,0,33022.970,4.015,3775616,9743424,4224,2680624
21-06 15:57:08,1.652,3.555,94.824,0,0,0,28.037,3063768,10455280,4232,2680624
21-06 15:57:09,3.871,1.191,94.587,0.248,0,32649.815,0,3758944,9727144,4232,2713520
21-06 15:57:10,2.251,3.202,94.656,0,0,0,0,2721980,10764108,4232,2713520
