"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250620_143716.csv",,,,"Date:","20 Jun 2025 14:37:16 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
20-06 14:37:16,,,1124368,15008820,1776,76840
20-06 14:37:17,0.049,0.148,99.326,0.049,0,295.907,0,1126876,15005928,1776,77224
20-06 14:37:18,0.304,0.557,99.329,0,0,0,0,1128200,15004604,1776,77224
20-06 14:37:19,0.299,0.798,98.422,0.499,0,52982.545,3.989,1435520,14644164,1776,130344
20-06 14:37:20,0.299,2.443,94.414,2.792,0,421761.093,51.843,1862752,13793676,1784,553592
20-06 14:37:21,0.345,2.120,94.712,3.008,0,423172.149,0,2290816,12936556,1784,982648
20-06 14:37:22,0.454,2.171,94.291,2.827,0,423984.271,0,2716136,12091260,1784,1402624
20-06 14:37:23,0.401,1.653,94.383,2.856,0,418730.974,0,3133904,11255540,1784,1820544
20-06 14:37:24,0.251,2.062,94.707,2.867,0,427218.747,0,3556872,10408092,1784,2245024
20-06 14:37:25,0.149,1.889,94.606,2.883,0,435257.732,43.748,3995508,9530916,1792,2682932
20-06 14:37:26,0.400,1.900,94.612,2.850,0,435509.469,0,4428008,8662080,1792,3118268
20-06 14:37:27,0.402,1.659,94.717,2.866,0,432182.594,0,4857804,7801356,1792,3548220
20-06 14:37:28,0.299,2.340,94.139,2.738,0,460077.340,0,5325256,6870768,1792,4010300
20-06 14:37:29,2.212,1.106,94.779,1.710,0,265164.090,0,5589408,6342600,1792,4273724
20-06 14:37:30,4.708,0.388,94.700,0.049,0,0,23.299,5681460,6250548,1800,4273716
20-06 14:37:31,2.240,2.852,94.916,0.051,0,244.418,150.724,2112712,9819296,1800,4273716
20-06 14:37:32,1.559,3.974,94.462,0,0,0,0,4689600,7242136,1800,4273964
20-06 14:37:33,3.804,1.502,94.506,0,0,0,4.004,5585552,6346184,1800,4273964
20-06 14:37:34,3.623,1.610,94.650,0,0,12.077,0,2165352,9766352,1800,4273964
20-06 14:37:35,1.361,3.937,94.592,0,0,27.221,77.774,3890688,8041000,1816,4273964
20-06 14:37:36,2.709,2.607,94.757,0,0,4.089,0,5584324,6347364,1816,4273964
20-06 14:37:37,5.114,0.099,94.785,0,0,0,0,5601932,6329724,1816,4273964
20-06 14:37:38,2.983,2.225,94.915,0,0,0,109.225,1121576,10810076,1816,4273968
20-06 14:37:39,0.148,0.049,99.890,0.049,0,3.958,0,1121576,10810076,1816,4273968
20-06 14:37:40,0.202,0.202,99.314,0.050,0,0,52.483,1117188,10814456,1824,4273968
20-06 14:37:41,0.150,0.150,99.564,0,0,28.046,0,1117188,10814456,1824,4273968
