"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250620_142728.csv",,,,"Date:","20 Jun 2025 14:27:28 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
20-06 14:27:28,,,1094964,15008924,8172,99404
20-06 14:27:29,0.199,0.299,99.400,0.050,0,1067.171,0,1097820,15004996,8172,100476
20-06 14:27:30,0.050,0.200,99.639,0.050,0,0,60.023,1098016,15004724,8180,100544
20-06 14:27:31,0.400,0.400,99.019,0,0,612.117,48.009,1094316,15007848,8268,101032
20-06 14:27:32,0.149,1.092,97.961,0.844,0,107322.282,0,1461916,14531876,8268,209404
20-06 14:27:33,0.404,2.224,94.298,2.931,0,423814.824,0,1882708,13691932,8268,628556
20-06 14:27:34,0.399,1.745,94.641,3.042,0,420620.518,0,2301732,12850932,8268,1050500
20-06 14:27:35,0.301,1.956,94.661,2.859,0,427646.214,76.251,2728548,11997912,8276,1476696
20-06 14:27:36,0.548,1.694,94.193,2.889,0,420612.212,99.622,3150976,11153496,8276,1898684
20-06 14:27:37,0.099,1.973,94.836,2.959,0,426224.111,0,3584244,10287968,8276,2330944
20-06 14:27:38,0.406,2.281,94.189,2.687,0,447207.157,0,4029432,9400796,8276,2772032
20-06 14:27:39,0.200,1.701,94.652,2.752,0,441976.208,0,4471472,8516020,8276,3213760
20-06 14:27:40,0.298,1.939,94.698,2.784,0,439806.185,35.792,4914144,7630116,8284,3655992
20-06 14:27:41,0.656,2.068,94.238,2.371,0,468182.583,28.251,5376672,6702488,8284,4120068
20-06 14:27:43,0.289,2.312,94.488,2.601,0,456906.995,0,5855456,5748172,8284,4594512
20-06 14:27:43,0.980,5.263,238.404,6.708,0,1135975.245,0,6959860,3540584,8284,5695184
20-06 14:27:44,0.900,2.450,94.156,2.500,0,453028.477,68.004,7415272,2631132,8292,6148176
20-06 14:27:45,0.349,1.897,94.692,2.646,0,469232.938,0,7886520,1688796,8292,6618192
20-06 14:27:46,0.302,2.666,94.349,2.716,0,450365.060,0,8334980,791568,8292,7065936
20-06 14:27:47,0.448,2.089,94.451,2.785,0,448701.674,294.445,8786220,255324,7868,7150340
20-06 14:27:48,0.302,1.965,93.929,3.477,0,455686.427,701.441,9231000,246176,7624,6713928
20-06 14:27:49,0.449,1.648,94.237,3.446,0,437021.982,23.971,9668024,234532,7580,6287584
20-06 14:27:50,4.103,0.500,94.608,0.800,0,86384.882,0,9753268,251292,7492,6185476
20-06 14:27:51,5.064,0.050,94.927,0,0,15.887,0,9753160,251164,7492,6185712
20-06 14:27:52,5.193,0.252,94.590,0,0,233.953,0,9756452,247712,7492,6185872
20-06 14:27:53,4.919,0.146,94.720,0,0,31.167,0,9799688,243680,7484,6146676
20-06 14:27:54,3.227,2.868,94.597,0.154,0,848.144,36.876,1216596,9044092,7492,5929348
20-06 14:27:55,0.301,2.407,93.488,3.360,0,401050.902,0,1754836,8106036,7492,6329164
20-06 14:27:56,0.300,1.400,94.300,3.600,0,425756.453,0,2182984,7251808,7492,6755244
20-06 14:27:57,0.500,1.400,94.425,3.549,0,422682.103,0,2607304,6404920,7492,7177812
20-06 14:27:58,0.146,1.508,94.400,3.550,0,429430.974,0,3049724,5520796,7492,7619516
20-06 14:27:59,0.412,1.338,94.152,3.550,0,422755.941,131.710,3462516,4697776,7500,8029736
20-06 14:28:00,0.300,1.500,94.412,3.550,0,438971.393,4.001,3896784,3824452,7500,8468792
20-06 14:28:01,1.687,3.623,94.890,0.050,0,8663.162,0,5438916,2273840,7500,8477264
20-06 14:28:02,1.718,3.436,94.729,0,0,0,15.706,7391280,321440,7500,8477300
20-06 14:28:03,0.749,2.197,93.829,3.246,0,391183.620,34455.574,7817824,228804,7456,8143436
20-06 14:28:04,0.411,2.311,93.617,3.595,0,409277.007,242.387,8347136,244836,7464,7598036
20-06 14:28:05,0.350,1.602,94.108,3.504,0,448905.200,272.311,8794632,251552,7464,7143792
20-06 14:28:06,0.150,1.249,94.346,3.548,0,451840.535,331.809,9246400,236944,7316,6706780
20-06 14:28:07,0.537,1.562,93.829,3.661,0,437497.730,265.571,9696192,235836,7316,6258080
20-06 14:28:08,5.164,0.051,95.098,0,0,0,0,9699008,253488,7316,6237620
20-06 14:28:09,5.262,0.351,94.269,0,0,364.849,56.131,9698980,253252,7324,6237876
20-06 14:28:10,5.036,0,94.964,0,0,3.874,0,9699232,253000,7324,6237876
20-06 14:28:11,4.777,0.719,94.558,0,0,332.829,0,9925236,234352,7296,6030548
20-06 14:28:12,0.645,2.731,94.675,1.936,0,211349.388,0,1503812,8490756,7296,6195576
20-06 14:28:13,0.454,1.210,94.353,3.629,0,432653.557,0,1939184,7626332,7296,6624588
20-06 14:28:14,1.819,3.785,230.236,10.077,0,995735.507,554.453,2938980,5609780,7816,7640728
20-06 14:28:16,0.690,1.627,94.189,3.647,0,430391.280,0,3381820,4730364,7820,8077300
20-06 14:28:16,0.259,2.225,94.141,2.846,0,406866.348,0,3843204,3876388,7820,8469860
20-06 14:28:17,1.045,4.776,94.266,0,0,15.918,0,5844528,1874804,7820,8470120
20-06 14:28:18,1.658,4.472,93.913,0.301,0,438.159,7151.240,8118164,245928,6436,7826744
20-06 14:28:19,2.387,2.934,94.536,0,0,3.978,3672.043,9678748,247552,5056,6265932
20-06 14:28:21,5.397,0.145,94.782,0,0,11.565,0,9679056,247228,5056,6265932
20-06 14:28:21,5.116,0.103,94.728,0,0,0,0,9680548,245736,5056,6265932
20-06 14:28:23,5.295,0.291,94.578,0,0,58.291,0,9682060,244224,5056,6265932
20-06 14:28:23,4.024,0.993,94.906,0.052,0,29.266,24127.844,9722348,434284,5064,6035576
20-06 14:28:25,0.386,1.353,98.209,0.193,0,440.564,3.865,982256,9174360,5064,6035576
20-06 14:28:25,0.205,0.460,98.693,0.409,0,3098.418,0,983144,9171844,5064,6037204
20-06 14:28:26,0.250,0.299,99.404,0.050,0,439.136,0,986416,9168580,5064,6037204
20-06 14:28:27,0,0.202,99.592,0,0,4.030,0,984340,9170656,5064,6037204
20-06 14:28:29,0.192,0.048,99.610,0,0,111.425,0,983944,9171052,5064,6037204
20-06 14:28:29,0.052,0.105,99.434,0.052,0,8.395,41.977,984188,9170800,5072,6037204
20-06 14:28:30,0.544,0.396,99.363,0.099,0,890.258,0,982856,9171368,5072,6037968
20-06 14:28:31,0,0.202,99.536,0,0,4.046,0,980664,9173468,5072,6038060
20-06 14:28:32,0.098,0.244,99.462,0,0,7.816,0,982132,9172000,5072,6038060
20-06 14:28:34,0.097,0.049,99.716,0,0,7.787,0,982132,9172000,5072,6038060
20-06 14:28:34,0.052,0.311,99.540,0,0,12.423,24.846,983636,9170488,5080,6038060
20-06 14:28:36,0.098,0.342,99.564,0,0,7.809,0,986656,9167468,5080,6038060
20-06 14:28:36,0.309,0.206,99.393,0,0,8.231,0,984624,9169500,5080,6038060
20-06 14:28:38,0.048,0,99.793,0,0,0,0,984876,9169248,5080,6038060
20-06 14:28:39,0,0.354,99.524,0.051,0,8.100,0,985412,9168744,5080,6038060
20-06 14:28:40,0.150,0.050,99.747,0,0,19.959,27.943,983356,9170792,5088,6038060
