"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250620_153448.csv",,,,"Date:","20 Jun 2025 15:34:49 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
20-06 15:34:49,,,2695968,9137296,3776,4360520
20-06 15:34:50,0.300,0.300,99.085,0.200,0,2822.150,0,2698288,9134724,1076,4363416
20-06 15:34:51,0.200,1.546,97.965,0.100,0,4784.516,0,2693064,13347732,1208,169212
20-06 15:34:52,0.400,0.350,99.151,0.250,0,4445.824,0,2695184,13341164,1424,173444
20-06 15:34:53,0.149,0.694,98.685,0,0,119.018,0,2694464,13341876,1424,173452
20-06 15:34:54,0.302,1.158,97.152,1.208,0,162465.718,249.675,3120372,12754356,1432,335056
20-06 15:34:55,0.346,1.831,93.690,3.019,0,394696.499,0,3519972,11956252,1432,733552
20-06 15:34:56,0.200,1.702,94.836,2.804,0,422239.254,0,3941324,11112924,1432,1155528
20-06 15:34:57,0.601,2.904,93.774,2.453,0,407196.890,0,4404844,10242812,1432,1562112
20-06 15:34:58,0.250,1.853,94.853,2.654,0,413467.244,44.071,4819340,9415572,1432,1974856
20-06 15:34:59,0.652,2.206,94.148,2.557,0,429933.340,308.814,5246536,8559472,1440,2403784
20-06 15:35:00,1.106,5.881,252.196,6.987,0,1145483.823,0,6389744,6274716,1464,3543052
20-06 15:35:01,0.250,1.952,94.758,2.403,0,452101.457,0,6840948,5370904,1464,3994636
20-06 15:35:02,1.884,1.983,94.162,1.636,0,313056.027,35.701,7160992,4734552,1472,4310088
20-06 15:35:03,5.058,0.451,94.994,0,0,12.018,0,7226840,4668632,1472,4310160
20-06 15:35:04,2.803,2.653,94.447,0,0,392.405,0,3416648,8478432,1472,4310552
20-06 15:35:05,1.659,4.071,94.590,0,0,8.042,0,5843288,6051792,1472,4310552
20-06 15:35:06,3.154,2.203,94.713,0,0,8.010,0,7160328,4734752,1472,4310552
20-06 15:35:07,4.888,0.249,94.674,0.050,0,3.990,27.933,7219540,4675532,1480,4310552
20-06 15:35:08,2.907,2.706,94.719,0,0,4.009,0,3362560,8532512,1480,4310552
20-06 15:35:09,1.400,3.701,94.971,0,0,4.001,0,6086372,5808668,1480,4310552
20-06 15:35:10,3.753,1.651,94.325,0.050,0,136.109,0,7160724,4734180,1608,4310560
20-06 15:35:11,4.976,0.148,94.738,0,0,0,0,7188888,4706016,1608,4310560
20-06 15:35:12,3.195,2.130,95.029,0,0,0,40.567,2697820,9197084,1616,4310552
20-06 15:35:13,0,0.148,99.478,0,0,0,0,2695860,9199036,1616,4310560
20-06 15:35:14,0.302,0.252,99.525,0,0,0,0,2696868,9198028,1616,4310560
20-06 15:35:15,0.452,0.151,99.035,0,0,0,0,2700980,9193912,1616,4310564
