"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250620_135637.csv",,,,"Date:","20 Jun 2025 13:56:37 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
20-06 13:56:37,,,1085352,9129504,17324,5963512
20-06 13:56:38,0.200,0.100,99.618,0.050,0,191.939,75.976,1084024,9130832,17340,5963496
20-06 13:56:39,0.450,0.250,99.431,0,0,19.996,3.999,1085676,9129092,17340,5963584
20-06 13:56:40,0.049,0.049,99.781,0.049,0,23.466,0,1086180,9128588,17340,5963584
20-06 13:56:41,1.137,4.203,94.785,0,0,31.644,0,2803968,7410800,17340,5963584
20-06 13:56:42,1.260,3.781,94.424,0.605,0,99455.600,0,4231252,5884716,17340,6062384
20-06 13:56:43,0.603,2.562,94.530,2.311,0,444016.732,36.165,4677064,4996920,17348,6504360
20-06 13:56:44,0.306,2.859,94.449,2.042,0,439481.411,151.119,5107980,4135660,17348,6934704
20-06 13:56:45,0.199,3.634,94.088,1.643,0,439675.194,0,5550380,4504960,952,6140372
20-06 13:56:46,1.001,4.653,91.510,2.752,0,407545.162,0,5945456,9803356,1088,461332
20-06 13:56:47,0.351,5.373,91.689,1.958,0,418549.398,0,6366672,8965436,1088,878260
20-06 13:56:48,0.950,8.300,88.347,1.950,0,402570.659,35.999,6772980,8156756,1096,1280624
20-06 13:56:49,0.383,4.499,92.417,2.393,0,443032.594,0,7233884,7233004,1096,1743472
20-06 13:56:50,0.506,1.871,93.933,3.185,0,459470.221,0,7688204,6324284,1096,2197872
20-06 13:56:51,0.301,1.604,94.648,3.008,0,453927.609,0,8141912,5417600,1096,2650608
20-06 13:56:52,1.055,2.361,93.122,3.164,0,443233.655,0,8585272,4533708,1188,3090056
20-06 13:56:53,0.251,2.061,94.535,2.463,0,437444.510,28.144,9021500,3660436,1196,3526100
20-06 13:56:54,0.500,2.451,94.386,2.351,0,451757.835,0,9474004,2755292,1196,3977684
20-06 13:56:55,2.058,1.617,94.727,1.519,0,276755.003,0,9755264,2191280,1196,4259796
20-06 13:56:56,5.239,0.151,94.709,0,0,4.030,0,9754020,2192516,1196,4259804
20-06 13:56:57,5.100,0,95.017,0,0,3.961,0,9754044,2192492,1196,4259804
20-06 13:56:58,5.128,0.256,94.449,0.051,0,77.939,77.939,9756160,2190376,1212,4259788
20-06 13:56:59,4.592,0.599,94.844,0,0,0,0,9892680,2053732,1212,4259912
20-06 13:57:00,2.172,2.715,94.744,0.741,0,88548.981,0,1572700,10284212,1212,4349396
20-06 13:57:01,0.397,1.192,94.012,3.377,0,422606.721,0,1867684,9562800,1212,4775024
20-06 13:57:02,0.349,1.346,94.436,3.590,0,421349.849,27.922,2294536,8712380,1212,5197520
20-06 13:57:03,0.460,1.432,94.347,3.528,0,435670.076,0,2721196,7858652,1212,5623580
20-06 13:57:04,0.817,2.739,217.473,8.218,0,991319.993,38.448,3747116,5798640,1252,6655152
20-06 13:57:05,0.477,1.061,94.149,3.395,0,404382.139,0,4131616,5032060,1252,7036336
20-06 13:57:06,0.450,1.850,94.652,2.900,0,434091.680,0,4565384,4163268,1252,7470384
20-06 13:57:07,0.490,2.646,94.381,2.499,0,434307.667,0,5009372,3275136,1252,7913520
20-06 13:57:08,0.296,1.629,94.509,3.259,0,471504.197,146.158,5487176,2318916,1260,8390840
20-06 13:57:09,1.269,3.401,94.775,0.558,0,65366.630,0,6483488,1258220,1260,8455080
20-06 13:57:10,0.815,4.179,94.986,0,0,6237.290,0,7508748,254252,1212,8433836
20-06 13:57:11,0.441,2.649,93.640,3.090,0,449024.824,3249.196,7951968,236712,1212,8008156
20-06 13:57:12,0.392,2.351,94.029,3.036,0,465918.736,3.918,8426784,225052,1212,7545000
20-06 13:57:13,0.569,2.484,93.708,3.053,0,433425.562,28.976,8845828,251916,1220,7099084
20-06 13:57:14,0.352,2.366,94.245,2.819,0,448000.306,0,9288504,244848,1348,6663348
20-06 13:57:15,0.624,2.351,94.128,2.831,0,395717.535,3.838,9702908,239208,1348,6254584
20-06 13:57:16,5.024,0,94.807,0,0,4.019,4.019,9702744,250676,1348,6243280
20-06 13:57:17,5.204,0.258,94.594,0,0,4.122,0,9709524,243896,1348,6243280
20-06 13:57:18,5.239,0.050,94.807,0.050,0,4.030,24.180,9708148,245264,1356,6243280
20-06 13:57:19,4.672,0.745,94.824,0,0,11.927,71.565,9897120,240644,1356,6058928
20-06 13:57:20,0.952,2.256,94.937,1.454,0,160368.178,0,1463648,8582488,1356,6150556
20-06 13:57:21,0.448,1.146,94.350,3.587,0,418296.357,0,1886364,7739928,1356,6570400
20-06 13:57:22,0.453,1.259,94.394,3.576,0,422178.279,0,2303872,6903348,1356,6989472
20-06 13:57:23,0.448,1.145,94.517,3.534,0,436435.916,15.927,2744552,6024228,1364,7427904
20-06 13:57:24,0.338,1.206,94.438,3.619,0,417804.360,3.861,3178284,5157600,1364,7860800
20-06 13:57:25,0.365,1.355,94.643,3.596,0,437608.162,0,3600348,4315680,1364,8280640
20-06 13:57:26,0.849,2.998,94.578,1.399,0,170114.916,0,5122808,2623232,1364,8450612
20-06 13:57:27,2.004,3.757,94.522,0,0,20.036,0,6993260,752780,1364,8450612
20-06 13:57:28,1.638,4.516,93.893,0.397,0,3.970,32674.024,8982056,238668,1344,6975896
20-06 13:57:29,3.887,1.918,93.941,0.252,0,2414.909,12914.514,9665068,248340,1348,6283212
20-06 13:57:30,5.036,0,95.028,0,0,0,0,9664888,248520,1348,6283212
20-06 13:57:31,5.136,0.048,94.753,0,0,30.720,0,9664716,248692,1348,6283212
20-06 13:57:32,4.036,1.463,94.652,0,0,84.763,44.400,7634328,2540416,1356,6021872
20-06 13:57:33,0.450,1.099,98.427,0.100,0,1011.252,59.956,994996,9179048,1364,6022564
20-06 13:57:34,0.155,0.361,99.523,0.103,0,631.496,0,997172,9176656,1364,6022780
20-06 13:57:35,0.298,0.547,238.151,0.149,0,1307.767,3.975,996632,9175908,1364,6024068
20-06 13:57:36,0.100,0.200,99.501,0,0,20.040,0,998900,9173640,1364,6024068
20-06 13:57:37,0.200,0.150,99.583,0,0,96.226,24.056,1000152,9172380,1372,6024068
20-06 13:57:38,0.100,0.301,99.558,0.050,0,16.042,12.031,1001348,9171216,1372,6024068
20-06 13:57:39,0.049,0.146,99.732,0,0,0,0,999520,9173044,1372,6024068
20-06 13:57:40,0.205,0.154,99.570,0,0,73.946,0,999896,9172668,1372,6024068
20-06 13:57:41,0.050,0.249,99.418,0,0,0,0,1000372,9172192,1372,6024068
20-06 13:57:42,0.050,0.202,99.687,0.101,0,12.114,28.266,1001980,9170576,1380,6024068
20-06 13:57:43,0,0.049,99.865,0,0,7.764,7.764,997520,9175036,1380,6024068
20-06 13:57:44,0.206,0.206,99.585,0,0,4.126,0,998024,9174532,1380,6024068
20-06 13:57:45,0.544,0.395,98.155,0.643,0,11118.309,0,1003636,9159352,1388,6033628
20-06 13:57:46,0.050,0.655,99.161,0.050,0,16.116,0,1003144,9159844,1388,6033628
