"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250620_153747.csv",,,,"Date:","20 Jun 2025 15:37:47 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
20-06 15:37:47,,,2701768,13328368,2116,179128
20-06 15:37:48,0.245,0.440,98.987,0.245,0,2759.691,0,2700912,13326544,2380,181544
20-06 15:37:49,0.396,0.297,99.337,0,0,0,0,2703004,13324120,2380,181844
20-06 15:37:50,0.720,1.286,96.688,1.337,0,170417.831,49.373,3133004,12728260,2388,347696
20-06 15:37:51,0.301,2.056,94.485,2.758,0,422533.997,0,3552976,11886964,2388,769020
20-06 15:37:52,0.635,2.100,94.445,2.832,0,414932.410,0,3981956,11033448,2388,1193556
20-06 15:37:53,0.398,2.141,94.482,2.638,0,413150.272,0,4458440,10141692,2388,1608828
20-06 15:37:54,0.702,2.506,93.907,2.906,0,413069.158,0,4867976,9319996,2388,2020988
20-06 15:37:55,0.307,1.742,94.857,2.870,0,427434.181,40.997,5285028,8485948,2396,2437944
20-06 15:37:56,0.602,1.905,94.469,2.858,0,428744.330,124.354,5714472,7628008,2396,2865464
20-06 15:37:57,0.146,1.703,94.726,2.870,0,432218.368,7.784,6159640,6737672,2396,3309624
20-06 15:37:58,0.453,2.113,94.387,2.767,0,430194.303,0,6585128,5883788,2396,3737060
20-06 15:37:59,0.547,2.139,94.176,2.736,0,470118.781,0,7061432,4933864,2396,4209592
20-06 15:38:00,0.461,1.999,94.482,2.768,0,440316.300,24.607,7491332,4073564,2404,4639024
20-06 15:38:01,0.146,1.803,94.894,2.778,0,443688.723,0,7945836,3162884,2404,5094192
20-06 15:38:02,0.405,2.179,94.424,2.737,0,449981.513,64.876,8391036,2272832,2404,5538020
20-06 15:38:03,1.354,6.420,253.738,7.373,0,1219774.906,52.162,9610428,234128,2416,6354548
20-06 15:38:04,0.250,1.301,94.438,3.453,0,470454.603,0,10080056,250064,2416,5867928
20-06 15:38:05,0.501,1.503,93.970,3.607,0,442944.101,0,10518764,239692,2416,5438584
20-06 15:38:06,0.250,1.549,94.192,3.548,0,445673.077,27.983,10967076,247500,2416,4981412
20-06 15:38:07,1.050,1.400,94.179,3.201,0,402325.450,0,11370176,251544,2416,4573348
20-06 15:38:08,5.345,0.303,94.453,0,0,181.543,36.309,11369904,251716,2424,4573408
20-06 15:38:09,5.110,0.149,94.668,0,0,0,0,11374668,246944,2424,4573416
20-06 15:38:10,5.053,0,94.860,0,0,0,0,11374668,246944,2424,4573416
20-06 15:38:11,5.052,0.700,94.580,0,0,0,0,11539520,248120,2424,4407388
20-06 15:38:12,1.303,2.205,96.429,0,0,553.313,0,2709828,9169336,2424,4315864
20-06 15:38:13,0.251,0.351,99.189,0,0,0,28.110,2711048,9168108,2432,4315864
