"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250620_221238.csv",,,,"Date:","20 Jun 2025 22:12:38 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
20-06 22:12:38,,,2759572,13282168,10288,158516
20-06 22:12:39,0.350,0.400,99.024,0.050,0,323.753,0,2760300,13280912,10288,159044
20-06 22:12:40,0.049,0.049,99.824,0,0,0,0,2759040,13282172,10288,159044
20-06 22:12:41,0.463,1.234,97.280,0.823,0,111923.866,61.700,2996764,12935304,10296,268180
20-06 22:12:42,0.299,1.946,94.589,2.844,0,406008.018,0,3403184,12121964,10296,675092
20-06 22:12:43,0.301,2.106,94.585,2.608,0,393120.579,0,3824968,11308116,10296,1067156
20-06 22:12:44,0.589,2.357,94.091,2.603,0,421910.805,0,4253256,10450388,10296,1496596
20-06 22:12:45,0.357,2.343,94.551,2.700,0,435458.403,0,4680432,9595820,10296,1923988
20-06 22:12:46,0.800,2.650,94.106,2.600,0,474656.442,36.002,5151336,8650400,10304,2398476
20-06 22:12:47,0.394,2.070,94.566,2.710,0,448224.644,0,5606340,7739592,10304,2853304
20-06 22:12:48,0.502,2.057,94.270,2.509,0,432853.692,0,6036568,6877268,10304,3284408
20-06 22:12:49,5.210,0.100,94.791,0,0,0,0,6036444,6877376,10304,3284432
20-06 22:12:50,3.003,1.602,95.341,0,0,364.349,0,2759376,10154072,10304,3284796
20-06 22:12:51,0.450,0.150,99.439,0,0,0,24.022,2759552,10153892,10312,3284792
