"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250621_164109.csv",,,,"Date:","21 Jun 2025 16:41:09 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
21-06 16:41:09,,,7058840,5392720,17100,3719688
21-06 16:41:10,0.300,0.150,99.696,0,0,0,0,7059200,5392356,17100,3719692
21-06 16:41:11,0.350,0.300,99.321,0,0,0,40.029,7059896,5391644,17108,3719692
21-06 16:41:12,0.149,0.099,99.944,0,0,0,27.817,7054680,5396844,17108,3719692
21-06 16:41:13,0.701,2.254,96.975,0,0,0,0,7910528,4540996,17108,3719692
21-06 16:41:14,6.394,7.942,239.661,0,0,0,39.960,10345148,2106352,17116,3719692
21-06 16:41:15,5.107,0.451,94.484,0,0,0,0,10410608,2040876,17116,3719692
21-06 16:41:16,0.853,0.853,98.258,0,0,0,0,7055860,5395624,17116,3719692
21-06 16:41:17,0.297,0.198,99.294,0,0,0,0,7055616,5395868,17116,3719692
21-06 16:41:18,0.050,0.200,99.825,0,0,0,0,7051916,5399568,17116,3719692
21-06 16:41:19,0.400,0.600,98.983,0.050,0,0,32.011,7052104,5399380,17124,3719684
21-06 16:41:20,0,0,99.584,0,0,0,0,7055448,5396036,17124,3719684
21-06 16:41:21,0.349,0.449,99.079,0,0,0,7.978,7052976,5398508,17124,3719692
